user_id,user_project_cycle_id,project_id,os,source,os_env,dbm_version,extracted_at,record_type,value,extra_value,unit,start_time,end_time,session_id,is_aggregated,hardware_model,software_version,app_version
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,106.0,,count/min,2023-10-01 02:08:13.507000 UTC,2023-10-01 02:08:13.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,124.00000000000001,,count/min,2023-10-01 02:08:04.507000 UTC,2023-10-01 02:08:04.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,95.0,,count/min,2023-10-01 02:08:21.507000 UTC,2023-10-01 02:08:21.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,95.0,,count/min,2023-10-01 02:08:24.507000 UTC,2023-10-01 02:08:24.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,96.0,,count/min,2023-10-01 02:08:43.507000 UTC,2023-10-01 02:08:43.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,88.0,,count/min,2023-10-01 02:08:48.507000 UTC,2023-10-01 02:08:48.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,85.0,,count/min,2023-10-01 02:08:53.507000 UTC,2023-10-01 02:08:53.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,86.0,,count/min,2023-10-01 02:09:37.381000 UTC,2023-10-01 02:09:37.381000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,81.0,,count/min,2023-10-01 02:18:01.382000 UTC,2023-10-01 02:18:01.382000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,80.0,,count/min,2023-10-01 02:23:38.385000 UTC,2023-10-01 02:23:38.385000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,80.00020599365234,,count/min,2023-10-01 02:26:06.383000 UTC,2023-10-01 02:26:06.383000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,80.0,,count/min,2023-10-01 02:27:16.381000 UTC,2023-10-01 02:27:16.381000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,83.0,,count/min,2023-10-01 02:12:17.756000 UTC,2023-10-01 02:12:17.756000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,80.0,,count/min,2023-10-01 02:36:04.257000 UTC,2023-10-01 02:36:04.257000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,72.0,,count/min,2023-10-01 02:44:38.631000 UTC,2023-10-01 02:44:38.631000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,75.0,,count/min,2023-10-01 02:46:49.132000 UTC,2023-10-01 02:46:49.132000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,78.0,,count/min,2023-10-01 02:53:02.133000 UTC,2023-10-01 02:53:02.133000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,73.0,,count/min,2023-10-01 02:31:17.381000 UTC,2023-10-01 02:31:17.381000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,78.0,,count/min,2023-10-01 03:01:16.128000 UTC,2023-10-01 03:01:16.128000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,73.0,,count/min,2023-10-01 03:05:30.131000 UTC,2023-10-01 03:05:30.131000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,73.0,,count/min,2023-10-01 03:12:11.633000 UTC,2023-10-01 03:12:11.633000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,79.0,,count/min,2023-10-01 03:24:37.258000 UTC,2023-10-01 03:24:37.258000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,72.0,,count/min,2023-10-01 03:29:38.258000 UTC,2023-10-01 03:29:38.258000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,73.0,,count/min,2023-10-01 03:30:56.257000 UTC,2023-10-01 03:30:56.257000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,77.00000000000001,,count/min,2023-10-01 03:35:14.257000 UTC,2023-10-01 03:35:14.257000 UTC,,false,"Watch6,14",9.6.2,1.1.6
